address_id,customer_id,address_type,customer_address,city,state,zip_code,country,region
52,1,135.124.186.144,58816 David Crossing,Nieuw Nickerie,,,Suriname,CN-63
5,2,251.100.236.40,8 Troy Point,Ad Dilam,,,Saudi Arabia,RU-KIR
08,3,227.71.222.65,9053 Union Pass,Boulder,Colorado,80305,United States,CU-04
7289,4,6.65.86.222,8 Butternut Road,Yujin,,,China,US-AZ
800,5,248.80.235.227,1 American Ash Crossing,Sarapul,,427985,Russia,CO-MAG
567,6,2.170.20.249,4975 Charing Cross Court,Kangxung,,,China,US-MO
81,7,49.105.154.107,6387 Dapin Trail,Bello,,051059,Colombia,SE-Y
888,8,176.60.229.159,446 Lake View Point,Mollas,,,Albania,ID-SS
6654,9,1.253.172.222,553 Victoria Parkway,Aubergenville,Île-de-France,78415 CEDEX,France,SE-BD
4800,10,149.46.137.183,2 Blaine Circle,Rakiv Lis,,,Ukraine,ID-NT
58830,11,144.14.86.206,9957 Manitowish Hill,Eslöv,Skåne,241 91,Sweden,CA-NT
05,12,30.213.78.55,4400 Vernon Terrace,Bang Kaeo,,93140,Thailand,NO-14
1545,13,217.130.247.48,549 Clarendon Road,Lazaro Cardenas,Mexico,55407,Mexico,FR-J
96,14,134.181.67.74,148 Crescent Oaks Way,An Naşr,,,Palestinian Territory,US-IL
9,15,59.29.221.122,2406 Bunting Crossing,Niafunké,,,Mali,TR-34
895,16,132.225.237.98,25501 Sunnyside Point,Zhongguanyi,,,China,US-AK
2,17,145.234.226.118,3671 Summerview Junction,Bama,,,Nigeria,PH-SUR
4061,18,128.211.49.46,66 Stuart Pass,Harnoli,,42020,Pakistan,RU-IRK
22,19,67.25.102.197,5 Mosinee Street,Omsukchan,,686416,Russia,NA-KA
23399,20,61.136.80.142,19 South Junction,Nyagan,,628189,Russia,IT-25
591,21,129.62.9.196,55420 Thompson Court,Río Ceballos,,5113,Argentina,BO-B
1,22,75.32.52.151,5 Granby Court,Chenqiao,,,China,MM-07
2,23,154.214.239.249,88855 Melrose Avenue,Niedzica,,34-441,Poland,IT-25
55166,24,206.190.185.118,90 Lyons Plaza,Randuagung,,,Indonesia,AU-NSW
3,25,57.134.201.61,143 Kim Plaza,Guluoshan,,,China,CK-U-A
5288,26,71.16.81.186,3535 Waywood Hill,Jiangguanchi,,,China,PG-GPK
19,27,134.217.52.253,1 Cambridge Crossing,Santana,,47700-000,Brazil,CL-BI
314,28,162.42.25.93,11243 Sommers Junction,Dióni,,,Greece,AU-VIC
3,29,190.182.199.118,754 Parkside Park,Namangan,,,Uzbekistan,ES-CT
53,30,203.20.142.35,9087 Clyde Gallagher Alley,Palmares,,55540-000,Brazil,US-CA
47100,31,185.129.29.63,6 Commercial Plaza,Dahongmen,,,China,AO-LNO
23,32,100.239.157.76,8 Claremont Pass,Unquillo,,5109,Argentina,CA-MB
9158,33,121.159.118.155,2682 Pierstorff Way,Emmen,Provincie Drenthe,7804,Netherlands,PG-EPW
2056,34,145.60.25.35,8772 Linden Lane,Kostino,,613060,Russia,US-WA
51,35,39.97.118.245,0506 Derek Place,Mulino,,606083,Russia,GB-SCT
993,36,161.51.250.213,6 Warrior Junction,Espargos,,,Cape Verde,IE-KK
531,37,195.237.14.82,90725 Gina Drive,Datian,,,China,US-AK
93,38,26.227.192.30,5033 Tony Crossing,Nepomuceno,,37250-000,Brazil,YE-SN
74,39,228.154.177.77,6372 Algoma Place,Valenciennes,Nord-Pas-de-Calais,59309 CEDEX,France,ID-MA
3,40,22.138.194.42,02624 Aberg Drive,Sumberrejo,,,Indonesia,AE-DU
41,41,235.220.254.124,50026 Anhalt Drive,Calumpit,,3003,Philippines,FJ-E
445,42,241.174.16.178,64 Mcguire Circle,Hanyuan,,,China,US-AK
3,43,119.91.206.8,548 Waxwing Way,Isidro Fabela,Mexico,54932,Mexico,JP-01
9378,44,225.174.223.177,11 Shasta Way,Al Qāmishlī,,,Syria,PG-MPL
33,45,120.77.94.222,032 Bartillon Plaza,Lameiro,Leiria,2425-317,Portugal,VN-28
