payment_history_id,payment_id,payment_date,payment_amount,payment_method_name,payment_gateway,change_description,payment_status,transaction_reference
1,2385,2/5/2024,514,jcb,Genetic Technologies Ltd,repurpose bricks-and-clicks portals,true,3536014992156115
2,22576,6/25/2024,545,mastercard,F.N.B. Corporation,orchestrate world-class applications,false,5100131328083929
3,5541,10/23/2024,869,jcb,Itau Unibanco Banco Holding SA,extend end-to-end interfaces,true,3560200801782832
4,89,4/15/2024,961,jcb,"Baidu, Inc.",incubate dynamic deliverables,true,3589656781463577
5,1,3/15/2024,471,jcb,Nuveen Quality Municipal Income Fund,architect bleeding-edge e-markets,false,3547733670328277
6,23754,12/27/2023,457,maestro,BHP Billiton Limited,harness bleeding-edge e-tailers,false,6304140848805955120
7,3255,10/23/2024,774,mastercard,voxeljet AG,optimize customized ROI,false,5446879006008443
8,03908,12/20/2023,912,jcb,BullMark LatAm Select Leaders ETF,evolve global portals,true,3542500945463261
9,362,4/3/2024,455,jcb,Navistar International Corporation,architect virtual bandwidth,false,3556874387454226
10,36891,6/19/2024,142,jcb,Neptune Technologies & Bioresources Inc,engage out-of-the-box functionalities,false,3540852332693782
11,17,9/9/2024,276,jcb,FelCor Lodging Trust Incorporated,redefine open-source initiatives,false,3538286949332027
12,9082,4/10/2024,649,instapayment,Regional Management Corp.,target turn-key eyeballs,false,6376891356906284
13,05,4/16/2024,970,visa-electron,Voya International High Dividend Equity Income Fund,evolve world-class e-business,true,4026740259427998
14,808,4/24/2024,43,jcb,General Electric Company,revolutionize best-of-breed paradigms,true,3589053296108469
15,924,6/24/2024,287,jcb,Wells Fargo & Company,synergize bricks-and-clicks vortals,false,3565822342715412
16,09,10/23/2024,12,instapayment,Herbalife LTD.,mesh customized initiatives,true,6370173081289526
17,03,3/31/2024,224,mastercard,"Twenty-First Century Fox, Inc.",streamline magnetic networks,true,5007667331527018
18,8068,11/8/2023,884,china-unionpay,"ClubCorp Holdings, Inc.",synthesize scalable portals,true,560224800997576661
19,11174,5/9/2024,461,maestro,"Safe Bulkers, Inc",target bleeding-edge action-items,false,676193899983759563
20,14297,8/12/2024,516,visa,Akari Therapeutics Plc,streamline strategic vortals,true,4017956354397503
21,006,8/7/2024,303,americanexpress,Wintrust Financial Corporation,enhance dot-com bandwidth,true,343149204392766
22,61,6/11/2024,753,jcb,Forestar Group Inc,reintermediate back-end convergence,false,3545584374170735
23,228,11/12/2023,366,jcb,Patheon N.V.,facilitate mission-critical e-markets,true,3562278051791602
24,06,2/19/2024,296,maestro,"Microvision, Inc.",innovate global e-tailers,false,67593676607627071
25,63225,6/27/2024,780,switch,Encore Wire Corporation,repurpose collaborative ROI,true,493690563731028915
26,566,2/29/2024,750,jcb,Viacom Inc.,generate one-to-one supply-chains,true,3547935734467781
27,18197,11/15/2023,786,jcb,Vince Holding Corp.,iterate innovative networks,true,3540860748814447
28,528,4/13/2024,175,mastercard,TravelCenters of America LLC,enhance revolutionary portals,false,5048376737190295
29,5,5/25/2024,193,jcb,"Diversified Restaurant Holdings, Inc.",enhance global content,true,3533523781330817
30,954,7/8/2024,382,visa,Fluidigm Corporation,reinvent clicks-and-mortar infrastructures,true,4041599781999606
31,56,5/10/2024,707,jcb,"Douglas Dynamics, Inc.",engage web-enabled interfaces,true,3582649810352900
32,25,5/8/2024,18,bankcard,Unisys Corporation,monetize cutting-edge niches,true,5602234662194063
33,29300,3/31/2024,748,china-unionpay,"DST Systems, Inc.",evolve 24/7 web services,true,56022181649922329
34,2197,9/16/2024,676,jcb,JMU Limited,reintermediate front-end partnerships,false,3587148050397811
35,832,5/30/2024,310,maestro,SAP SE,unleash leading-edge interfaces,false,675959423652700224
36,456,1/8/2024,139,china-unionpay,"Ambac Financial Group, Inc.",engineer e-business solutions,true,5602241078707677
37,5426,4/25/2024,689,jcb,TiVo Corporation,utilize magnetic infomediaries,true,3567638156368389
38,0908,12/27/2023,40,jcb,"Just Energy Group, Inc.",seize impactful technologies,true,3567877875055295
39,37690,4/17/2024,894,bankcard,STAAR Surgical Company,mesh collaborative convergence,false,5602234742544519
40,0,8/2/2024,458,maestro,"Vmware, Inc.",disintermediate next-generation convergence,true,5893311773085220
41,78286,8/20/2024,869,americanexpress,New Age Beverages Corporation,incentivize open-source partnerships,true,376792034513547
42,7,3/5/2024,334,visa-electron,Regency Centers Corporation,mesh dynamic schemas,true,4844858571313033
43,976,4/7/2024,211,jcb,"T-Mobile US, Inc.",syndicate holistic niches,false,3570544072818009
44,202,1/4/2024,206,maestro,Brightcove Inc.,morph world-class e-business,true,630470267969081116
45,943,2/15/2024,160,jcb,"Aaron's,  Inc.",target leading-edge markets,true,3565268768102117
46,83,3/17/2024,510,americanexpress,Bank of America Corporation,engineer back-end e-business,false,372301700923354
47,009,8/2/2024,671,jcb,Sibanye Gold Limited,matrix back-end communities,false,3585010200592950
48,93,10/5/2024,153,laser,Deltic Timber Corporation,grow sticky initiatives,true,6706982700671574
49,97331,1/7/2024,195,jcb,State Street Corporation,incentivize enterprise deliverables,true,3545253303773908
50,0,2/20/2024,317,diners-club-us-ca,Kamada Ltd.,leverage e-business e-tailers,true,5518070393361768
51,2,11/8/2023,152,diners-club-carte-blanche,Cooper Tire & Rubber Company,facilitate viral e-commerce,false,30379519521407
52,233,4/19/2024,346,mastercard,"Spark Energy, Inc.",unleash dynamic niches,true,5010121634580717
53,80,12/18/2023,949,jcb,Axovant Sciences Ltd.,synthesize distributed niches,false,3548746570602517
54,0652,9/26/2024,540,jcb,Western Asset Mortgage Capital Corporation,implement virtual communities,false,3588579393423899
55,9,12/25/2023,841,jcb,Dextera Surgical Inc.,e-enable global convergence,false,3529184791616210
56,38,12/14/2023,53,americanexpress,"Energizer Holdings, Inc.",cultivate synergistic action-items,false,337941371170696
57,66656,5/16/2024,188,jcb,"D.R. Horton, Inc.",productize world-class paradigms,true,3588974507113819
58,36,5/18/2024,366,instapayment,Cummins Inc.,generate synergistic platforms,true,6392444360485745
59,61,3/18/2024,763,mastercard,First Northwest Bancorp,target frictionless platforms,false,5010121661441312
60,560,1/28/2024,801,jcb,Webster Financial Corporation,redefine interactive metrics,false,3586123890212604
61,55130,10/22/2024,717,diners-club-enroute,Liberty Global plc,enable extensible supply-chains,false,201605979626911
62,690,4/12/2024,166,jcb,"TheStreet, Inc.",integrate frictionless deliverables,true,3570907913183745
63,086,3/31/2024,885,maestro,"Coastway Bancorp, Inc.",deliver back-end communities,false,6304873444485452
64,682,8/14/2024,548,americanexpress,Matlin & Partners Acquisition Corporation,streamline cross-media paradigms,false,374622956030240
65,661,11/24/2023,628,mastercard,"Prologis, Inc.",repurpose world-class infomediaries,false,5002359774021346
66,31534,3/8/2024,775,mastercard,"Analog Devices, Inc.",evolve innovative convergence,true,5214502222506079
67,58932,7/2/2024,898,jcb,"Coherus BioSciences, Inc.",scale mission-critical web services,false,3547131184997895
