shipment_id,order_id,customer_address,carrier_id,tracking_number,shipment_date,estimate_delivery
1,6568,33 Village Green Center,89,25754,9/10/2024,2/9/2024
2,09,950 Ronald Regan Circle,206,198,2/27/2024,8/1/2024
3,57,53299 Burrows Street,346,9,5/30/2024,5/23/2024
4,416,45 Mandrake Parkway,57,2,4/10/2024,1/7/2024
5,4537,9553 School Court,77,340,8/31/2024,3/8/2024
6,1,53 Montana Drive,088,42888,6/18/2024,8/2/2024
7,4379,77470 Shasta Park,2230,79157,3/31/2024,7/20/2024
8,2,4982 Bayside Hill,279,01,6/13/2024,5/17/2024
9,00557,1 Melvin Avenue,971,69,8/25/2024,10/11/2024
10,43,92 Oak Avenue,9,9010,7/25/2024,2/22/2024
11,11883,002 Sherman Circle,401,7004,4/15/2024,12/25/2023
12,30,81819 Corry Lane,6,29,3/29/2024,1/12/2024
13,6899,22278 Mosinee Alley,25489,9,11/20/2023,2/13/2024
14,3,893 Longview Circle,01,92576,4/12/2024,11/24/2023
15,1914,183 Namekagon Plaza,13,1083,1/6/2024,1/21/2024
16,671,2217 Jay Pass,595,8,5/13/2024,7/25/2024
17,51,22150 Sloan Point,3,36,3/19/2024,2/9/2024
18,0,432 Westridge Street,64399,8,9/30/2024,1/27/2024
19,9767,6181 Hoard Point,1762,649,6/15/2024,10/17/2024
20,23881,61 Summit Crossing,8,61253,12/17/2023,11/5/2023
21,6,63 Vernon Junction,19,2238,7/10/2024,8/5/2024
22,69583,619 Clarendon Alley,18,7,8/10/2024,7/13/2024
23,612,1 Veith Hill,258,014,10/12/2024,3/30/2024
24,8323,9 Grayhawk Street,53,4,11/30/2023,3/9/2024
25,50,0606 Crowley Street,0,58530,7/29/2024,10/17/2024
26,1,89895 Springs Point,32,61,5/25/2024,12/1/2023
27,94,985 Springs Plaza,1,1689,2/5/2024,2/23/2024
28,6607,381 Myrtle Way,3723,124,1/18/2024,4/11/2024
29,02105,3 Golf Avenue,07687,7,2/25/2024,1/9/2024
30,1744,4 New Castle Plaza,6876,78,1/29/2024,9/29/2024
31,74661,3816 Esker Pass,6,9736,9/12/2024,12/5/2023
32,7,62910 Fair Oaks Terrace,9175,949,3/9/2024,1/20/2024
33,3674,9213 Randy Pass,94033,02,6/16/2024,3/21/2024
34,2346,98 Susan Road,9,94876,3/6/2024,11/2/2024
